id,date,stagnant,Caline1.5,caline3
FS016,2012-11-24,22,0.3138,0.3876
FS016,2012-12-8,40,0.2473,0.309
FS017,2012-8-18,52,0.1672,0.2169
FS017,2012-9-1,42,0.1126,0.1871
FS017,2012-9-15,113,0.2295,0.3214
FS017,2012-9-29,52,0.118,0.1907
FS017,2012-10-13,38,0.17,0.2337
FS017,2012-10-27,46,0.1513,0.2224
FS017,2012-11-10,35,0.1275,0.1983
FS017,2012-11-24,22,0.1378,0.2164
FS017,2012-12-8,40,0.1359,0.1908
FS018,2012-8-18,52,0.113,0.1516
FS018,2012-9-1,42,0.0961,0.1669
FS018,2012-9-15,113,0.1686,0.2267
FS018,2012-9-29,52,0.1091,0.1571
FS018,2012-10-13,38,0.0981,0.156
FS018,2012-10-27,46,0.1008,0.1838
FS018,2012-11-10,35,0.0854,0.1451
FS018,2012-11-24,22,0.0766,0.1458
FS018,2012-12-8,40,0.0775,0.1281
FS019,2012-8-18,52,0.2837,0.3185
FS019,2012-9-1,42,0.1826,0.2329
FS019,2012-9-15,113,0.5289,0.5862
FS019,2012-9-29,52,0.2157,0.2637
FS019,2012-10-13,38,0.2297,0.263
FS019,2012-10-27,46,0.1746,0.2251
FS019,2012-11-10,35,0.3026,0.3485
FS019,2012-11-24,22,0.1688,0.2085
FS019,2012-12-8,40,0.1633,0.1984
FS021,2012-8-18,52,0.1363,0.1956
FS021,2012-9-1,42,0.3197,0.3537
FS021,2012-9-15,113,0.2776,0.3523
FS021,2012-9-29,52,0.241,0.2864
FS021,2012-10-13,38,0.1504,0.216
FS021,2012-10-27,46,0.2723,0.3294
FS021,2012-11-10,35,0.2272,0.3047
FS021,2012-11-24,22,0.1885,0.2401
FS021,2012-12-8,40,0.134,0.1912
FS022,2012-8-18,52,0.1255,0.1718
FS022,2012-9-1,42,0.0454,0.1135
FS022,2012-9-15,113,0.1534,0.2307
FS022,2012-9-29,52,0.0783,0.1387
FS022,2012-10-13,38,0.135,0.1803
FS022,2012-10-27,46,0.0979,0.172
FS022,2012-11-10,35,0.089,0.1455
FS022,2012-11-24,22,0.1066,0.1594
FS022,2012-12-8,40,0.1067,0.1488
FS023,2012-8-18,52,0.2431,0.2931
FS023,2012-9-1,42,0.299,0.3567
FS023,2012-9-15,113,0.3096,0.3853
FS023,2012-9-29,52,0.2781,0.3233
FS023,2012-10-13,38,0.2795,0.3352
